numero_boletim;data_hora_boletim;sequencial_veiculo;codigo_categoria;descricao_categoria;codigo_especie;descricao_especie;codigo_situacao;descricao_situacao;tipo_socorro;descricao_tipo_socorro
161;31/12/2011 22:16;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
161;31/12/2011 22:16;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
161;31/12/2011 22:16;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
198;01/01/2011 00:50;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
198;01/01/2011 00:50;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
223;01/01/2011 00:20;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
246;31/12/2011 23:39;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
343;31/12/2011 22:27;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
343;31/12/2011 22:27;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
442;09/07/2011 23:35;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
442;09/07/2011 23:35;2;3;PARTICULAR                    ;1;BICICLETA                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
445;09/10/2011 14:20;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;0;NÃO INFORMADO       
445;09/10/2011 14:20;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
446;15/12/2011 21:20;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
447;18/10/2011 09:32;1;4;ALUGUEL                       ;8;ONIBUS                        ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
448;28/10/2011 07:40;1;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
449;04/11/2011 18:10;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
449;04/11/2011 18:10;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
