"Tabela 202 - População residente, por sexo e situação do domicílio",,,,,,,,,,,,,,,,,,
Variável - População residente (Pessoas),,,,,,,,,,,,,,,,,,
,,,,1970,1970,1970,1980,1980,1980,1991,1991,1991,2000,2000,2000,2010,2010,2010
nivel_cod,nivel,cod,nome,Total,H,M,Total,H,M,Total,H,M,Total,H,M,Total,H,M
MU,Município,3106200,Belo Horizonte (MG),1235030,587667,647363,1780839,852379,928460,2020161,956173,1063988,2238526,1057263,1181263,2375151,1113513,1261638
SD,Subdistrito,31062000562,Centro-Sul,,,,,,,,,,266003,119434,146569,272285,122159,150126
SD,Subdistrito,31062000563,Leste,,,,,,,,,,249094,115369,133725,249273,115056,134217
SD,Subdistrito,31062000564,Nordeste,,,,,,,,,,138021,63818,74203,143472,66256,77216
SD,Subdistrito,31062000565,Noroeste,,,,,,,,,,337351,158014,179337,331362,154055,177307
SD,Subdistrito,31062000567,Oeste,,,,,,,,,,267289,125863,141426,285126,133281,151845
SD,Subdistrito,31062000568,Pampulha,,,,,,,,,,111114,53213,57901,148370,70719,77651
SD,Subdistrito,31062000569,Venda Nova,,,,,,,,,,2993,1461,1532,3402,1667,1735
BA,Bairro,3106200001,Santa Inês,,,,,,,,,,,,,9172,4236,4936
BA,Bairro,3106200002,Horto Florestal,,,,,,,,,,,,,5971,2681,3290
BA,Bairro,3106200003,Camponesa 1ª seção,,,,,,,,,,,,,122,62,60
BA,Bairro,3106200004,Sagrada Família,,,,,,,,,,,,,34395,15623,18772
BA,Bairro,3106200005,Nova Vista,,,,,,,,,,,,,8409,3961,4448
BA,Bairro,3106200006,Boa Vista,,,,,,,,,,,,,17574,8161,9413
BA,Bairro,3106200007,Vila Boa Vista,,,,,,,,,,,,,958,460,498
BA,Bairro,3106200008,Casa Branca,,,,,,,,,,,,,6351,3033,3318
BA,Bairro,3106200009,Colégio Batista,,,,,,,,,,,,,10167,4656,5511
BA,Bairro,3106200010,Floresta,,,,,,,,,,,,,11841,5107,6734
BA,Bairro,3106200011,Santa Tereza,,,,,,,,,,,,,15607,6920,8687
BA,Bairro,3106200012,São Vicente,,,,,,,,,,,,,505,234,271
BA,Bairro,3106200013,Buraco Quente,,,,,,,,,,,,,1003,490,513
BA,Bairro,3106200014,Horto,,,,,,,,,,,,,3429,1484,1945
BA,Bairro,3106200015,João Alfredo,,,,,,,,,,,,,391,177,214
BA,Bairro,3106200016,São Geraldo,,,,,,,,,,,,,13974,6545,7429
BA,Bairro,3106200017,Camponesa 2ª Seção,,,,,,,,,,,,,236,111,125
BA,Bairro,3106200018,Vila São Geraldo,,,,,,,,,,,,,182,87,95
BA,Bairro,3106200019,Grota,,,,,,,,,,,,,195,92,103
BA,Bairro,3106200020,Mariano de Abreu,,,,,,,,,,,,,3541,1687,1854
BA,Bairro,3106200021,Esplanada,,,,,,,,,,,,,8219,3736,4483
BA,Bairro,3106200022,Vila Nossa Senhora do Rosário,,,,,,,,,,,,,673,301,372
BA,Bairro,3106200023,Pompéia,,,,,,,,,,,,,5686,2595,3091
BA,Bairro,3106200024,Vila São Rafael,,,,,,,,,,,,,1190,539,651
BA,Bairro,3106200025,Vera Cruz,,,,,,,,,,,,,3862,1812,2050
BA,Bairro,3106200029,Saudade,,,,,,,,,,,,,4893,2293,2600
BA,Bairro,3106200032,Alto Vera Cruz,,,,,,,,,,,,,21459,10187,11272
BA,Bairro,3106200033,Xangri-lá,,,,,,,,,,,,,8,3,5
BA,Bairro,3106200034,Caetano Furquim,,,,,,,,,,,,,370,173,197
BA,Bairro,3106200035,Taquaril,,,,,,,,,,,,,3389,1602,1787
BA,Bairro,3106200036,Granja de Freitas,,,,,,,,,,,,,3602,1682,1920
BA,Bairro,3106200037,Vila da Ária,,,,,,,,,,,,,337,171,166
BA,Bairro,3106200038,Conjunto Taquaril,,,,,,,,,,,,,14977,7258,7719
BA,Bairro,3106200039,Jonas Veiga,,,,,,,,,,,,,2580,1221,1359
BA,Bairro,3106200040,Pirineus,,,,,,,,,,,,,636,322,314
BA,Bairro,3106200041,Cidade Jardim Taquaril,,,,,,,,,,,,,173,87,86
BA,Bairro,3106200042,Baleia,,,,,,,,,,,,,17,10,7
BA,Bairro,3106200043,Santa Efigênia,,,,,,,,,,,,,17653,7887,9766
BA,Bairro,3106200044,Paraíso,,,,,,,,,,,,,13414,6065,7349
BA,Bairro,3106200045,Vila União,,,,,,,,,,,,,760,377,383
BA,Bairro,3106200046,Cônego Pinheiro 1ª Seção,,,,,,,,,,,,,446,191,255
BA,Bairro,3106200047,Cônego Pinheiro 2ª Seção,,,,,,,,,,,,,43,16,27
BA,Bairro,3106200048,Vila Paraíso,,,,,,,,,,,,,414,166,248
BA,Bairro,3106200049,Novo São Lucas,,,,,,,,,,,,,3926,1785,2141
BA,Bairro,3106200050,Vila Novo São Lucas,,,,,,,,,,,,,3677,1764,1913
BA,Bairro,3106200051,Fazendinha,,,,,,,,,,,,,3715,1722,1993
BA,Bairro,3106200052,Nossa Senhora do Rosário,,,,,,,,,,,,,173,82,91
BA,Bairro,3106200053,Vila Santo Antônio,,,,,,,,,,,,,335,150,185
BA,Bairro,3106200054,Lagoinha,,,,,,,,,,,,,3873,1757,2116
BA,Bairro,3106200055,São Cristóvão,,,,,,,,,,,,,2981,1262,1719
BA,Bairro,3106200056,Cachoeirinha,,,,,,,,,,,,,9209,4284,4925
BA,Bairro,3106200057,Vila Nova Cachoeirinha 3ª Seção,,,,,,,,,,,,,698,322,376
BA,Bairro,3106200058,Canadá,,,,,,,,,,,,,492,229,263
BA,Bairro,3106200059,Concórdia,,,,,,,,,,,,,10693,4834,5859
BA,Bairro,3106200060,Tiradentes,,,,,,,,,,,,,1661,791,870
BA,Bairro,3106200061,Vila do Pombal,,,,,,,,,,,,,142,72,70
BA,Bairro,3106200062,Graça,,,,,,,,,,,,,4792,2210,2582
BA,Bairro,3106200063,Silveira,,,,,,,,,,,,,5800,2623,3177
BA,Bairro,3106200064,Nova Floresta,,,,,,,,,,,,,4496,2010,2486
BA,Bairro,3106200065,Renascença,,,,,,,,,,,,,8882,3997,4885
BA,Bairro,3106200066,Santa Cruz,,,,,,,,,,,,,22306,10363,11943
BA,Bairro,3106200067,Vila da Paz,,,,,,,,,,,,,534,245,289
BA,Bairro,3106200068,Vila Inestan,,,,,,,,,,,,,701,332,369
BA,Bairro,3106200069,Ipiranga,,,,,,,,,,,,,12194,5564,6630
BA,Bairro,3106200070,Vila Ipiranga,,,,,,,,,,,,,187,93,94
BA,Bairro,3106200071,Palmares,,,,,,,,,,,,,5521,2615,2906
BA,Bairro,3106200072,Maria Virgínia,,,,,,,,,,,,,3837,1855,1982
BA,Bairro,3106200073,São Sebastião,,,,,,,,,,,,,356,163,193
BA,Bairro,3106200074,São Paulo,,,,,,,,,,,,,3750,1773,1977
BA,Bairro,3106200075,Andiroba,,,,,,,,,,,,,791,390,401
BA,Bairro,3106200076,Vila São Paulo,,,,,,,,,,,,,1898,892,1006
BA,Bairro,3106200077,Cidade Nova,,,,,,,,,,,,,15378,6959,8419
BA,Bairro,3106200078,União,,,,,,,,,,,,,14729,6907,7822
BA,Bairro,3106200079,Vila de Sá,,,,,,,,,,,,,971,460,511
BA,Bairro,3106200080,Dom Joaquim,,,,,,,,,,,,,3279,1541,1738
BA,Bairro,3106200081,Penha,,,,,,,,,,,,,2226,1023,1203
BA,Bairro,3106200082,Fernão Dias,,,,,,,,,,,,,4190,2017,2173
BA,Bairro,3106200083,Centro,,,,,,,,,,,,,16245,6666,9579
BA,Bairro,3106200084,Vila Suzana Primeira Seção,,,,,,,,,,,,,646,300,346
BA,Bairro,3106200085,Vila Suzana Segunda Seção,,,,,,,,,,,,,60,29,31
BA,Bairro,3106200086,Funcionários,,,,,,,,,,,,,8838,3796,5042
BA,Bairro,3106200087,Savassi,,,,,,,,,,,,,11772,5121,6651
BA,Bairro,3106200088,Boa Viagem,,,,,,,,,,,,,4564,1824,2740
BA,Bairro,3106200089,Lourdes,,,,,,,,,,,,,18905,8496,10409
BA,Bairro,3106200090,Santo Agostinho,,,,,,,,,,,,,9881,4460,5421
BA,Bairro,3106200091,Barro Preto,,,,,,,,,,,,,6183,2659,3524
BA,Bairro,3106200092,São Lucas,,,,,,,,,,,,,2987,1283,1704
BA,Bairro,3106200093,Nossa Senhora da Aparecida,,,,,,,,,,,,,4341,2073,2268
BA,Bairro,3106200094,Nossa Senhora da Conceição,,,,,,,,,,,,,6225,2876,3349
BA,Bairro,3106200095,Santana do Cafezal,,,,,,,,,,,,,4078,1982,2096
BA,Bairro,3106200096,Nossa Senhora de Fátima,,,,,,,,,,,,,9640,4664,4976
BA,Bairro,3106200097,Marçola,,,,,,,,,,,,,6556,3176,3380
BA,Bairro,3106200098,Serra,,,,,,,,,,,,,20277,8994,11283
BA,Bairro,3106200099,Mangabeiras,,,,,,,,,,,,,1947,906,1041
BA,Bairro,3106200100,Comiteco,,,,,,,,,,,,,1738,811,927
BA,Bairro,3106200101,Belvedere,,,,,,,,,,,,,8828,4186,4642
BA,Bairro,3106200102,Santa Lúcia,,,,,,,,,,,,,7225,3351,3874
BA,Bairro,3106200103,Acaba Mundo,,,,,,,,,,,,,1173,596,577
BA,Bairro,3106200104,São Bento,,,,,,,,,,,,,3688,1706,1982
BA,Bairro,3106200105,Ápia,,,,,,,,,,,,,405,185,220
BA,Bairro,3106200106,Conjunto Santa Maria,,,,,,,,,,,,,1127,519,608
BA,Bairro,3106200107,Vila Bandeirantes,,,,,,,,,,,,,562,274,288
BA,Bairro,3106200108,Luxemburgo,,,,,,,,,,,,,6412,2927,3485
BA,Bairro,3106200109,Coração de Jesus,,,,,,,,,,,,,5812,2538,3274
BA,Bairro,3106200110,Vila Paris,,,,,,,,,,,,,3560,1620,1940
BA,Bairro,3106200111,Monte São José,,,,,,,,,,,,,1111,542,569
BA,Bairro,3106200112,Cidade Jardim,,,,,,,,,,,,,1528,661,867
BA,Bairro,3106200113,Santo Antônio,,,,,,,,,,,,,21642,9616,12026
BA,Bairro,3106200114,Vila Barragem Santa Lúcia,,,,,,,,,,,,,7999,3906,4093
BA,Bairro,3106200115,Santa Rita de Cássia,,,,,,,,,,,,,6082,2888,3194
BA,Bairro,3106200116,Estrela,,,,,,,,,,,,,1591,730,861
BA,Bairro,3106200117,São Pedro,,,,,,,,,,,,,6328,2863,3465
BA,Bairro,3106200118,Carmo,,,,,,,,,,,,,3816,1655,2161
BA,Bairro,3106200119,Cruzeiro,,,,,,,,,,,,,8144,3640,4504
BA,Bairro,3106200120,Anchieta,,,,,,,,,,,,,12740,5628,7112
BA,Bairro,3106200121,Sion,,,,,,,,,,,,,19700,8644,11056
BA,Bairro,3106200122,Santa Isabel,,,,,,,,,,,,,139,64,75
BA,Bairro,3106200123,Vila Fumec,,,,,,,,,,,,,72,33,39
BA,Bairro,3106200124,Pindura Saia,,,,,,,,,,,,,153,66,87
BA,Bairro,3106200125,Mala e Cuia,,,,,,,,,,,,,60,29,31
BA,Bairro,3106200126,Prado,,,,,,,,,,,,,13800,6081,7719
BA,Bairro,3106200127,Vila Calafate,,,,,,,,,,,,,529,270,259
BA,Bairro,3106200128,Calafate,,,,,,,,,,,,,7475,3501,3974
BA,Bairro,3106200129,Barroca,,,,,,,,,,,,,3311,1429,1882
BA,Bairro,3106200130,Alto Barroca,,,,,,,,,,,,,5213,2434,2779
BA,Bairro,3106200131,Grajaú,,,,,,,,,,,,,6279,2893,3386
BA,Bairro,3106200132,Nova Granada,,,,,,,,,,,,,5979,2785,3194
BA,Bairro,3106200133,Barão Homem de Melo 2ª Seção,,,,,,,,,,,,,207,81,126
BA,Bairro,3106200134,Jardim América,,,,,,,,,,,,,11177,5190,5987
BA,Bairro,3106200135,Nova Suíça,,,,,,,,,,,,,15218,6843,8375
BA,Bairro,3106200136,Salgado Filho,,,,,,,,,,,,,14679,6852,7827
BA,Bairro,3106200137,Gutierrez,,,,,,,,,,,,,17507,7705,9802
BA,Bairro,3106200138,Guaratã,,,,,,,,,,,,,766,335,431
BA,Bairro,3106200139,Cinquentenário,,,,,,,,,,,,,5460,2574,2886
