boletim_pk;hora
1;20.3333333333
2;17.2833333333
3;2.0333333333
4;17.2833333333
5;17.2833333333
6;17.2833333333
7;18.3
8;4.0666666667
9;15.25
10;7.1166666667
11;22.3666666667
12;6.1
13;10.1666666667
14;15.25
15;16.2666666667
16;20.3333333333
17;18.3
18;18.3
19;18.3
20;19.3166666667
21;12.2
22;18.3
23;18.3
24;13.2166666667
25;15.25
26;19.3166666667
27;19.3166666667
28;16.2666666667
29;15.25
30;19.3166666667
31;19.3166666667
32;8.1333333333
33;15.25
34;17.2833333333
35;8.1333333333
36;20.3333333333
37;16.2666666667
38;17.2833333333
39;3.05
40;20.3333333333
41;23.3833333333
42;5.0833333333
43;21.35
44;7.1166666667
45;12.2
46;7.1166666667
47;17.2833333333
48;6.1
49;23.3833333333
50;23.3833333333
51;10.1666666667
52;8.1333333333
53;7.1166666667
54;15.25
55;19.3166666667
56;14.2333333333
57;9.15
58;15.25
59;19.3166666667
60;19.3166666667
61;8.1333333333
62;19.3166666667
63;17.2833333333
64;18.3
65;18.3
66;19.3166666667
67;9.15
68;8.1333333333
69;20.3333333333
70;21.35
71;12.2
72;17.2833333333
73;19.3166666667
74;16.2666666667
75;10.1666666667
76;19.3166666667
77;9.15
78;10.1666666667
79;20.3333333333
80;15.25
81;18.3
82;20.3333333333
83;10.1666666667
84;7.1166666667
85;21.35
86;8.1333333333
87;19.3166666667
88;20.3333333333
89;10.1666666667
90;22.3666666667
91;18.3
92;10.1666666667
93;12.2
94;21.35
95;20.3333333333
96;21.35
97;17.2833333333
98;10.1666666667
99;8.1333333333
100;7.1166666667
101;21.35
102;11.1833333333
103;8.1333333333
104;10.1666666667
105;23.3833333333
106;21.35
107;12.2
108;12.2
109;22.3666666667
110;12.2
111;21.35
112;12.2
113;22.3666666667
114;23.3833333333
115;22.3666666667
116;22.3666666667
117;22.3666666667
118;0.0
119;10.1666666667
120;12.2
121;0.0
122;16.2666666667
123;1.0166666667
124;11.1833333333
125;15.25
126;1.0166666667
127;14.2333333333
128;9.15
129;14.2333333333
130;4.0666666667
131;5.0833333333
132;18.3
133;6.1
134;6.1
135;14.2333333333
136;6.1
137;5.0833333333
138;6.1
139;9.15
140;8.1333333333
141;15.25
142;13.2166666667
143;8.1333333333
144;13.2166666667
145;7.1166666667
146;13.2166666667
147;6.1
148;18.3
149;8.1333333333
150;8.1333333333
151;11.1833333333
152;16.2666666667
153;14.2333333333
154;8.1333333333
155;7.1166666667
156;14.2333333333
157;7.1166666667
158;8.1333333333
159;8.1333333333
160;17.2833333333
161;18.3
162;18.3
163;14.2333333333
164;17.2833333333
165;17.2833333333
166;13.2166666667
167;7.1166666667
168;18.3
169;14.2333333333
170;9.15
171;10.1666666667
172;18.3
173;9.15
174;19.3166666667
175;16.2666666667
176;9.15
177;9.15
178;6.1
179;1.0166666667
180;15.25
181;13.2166666667
182;17.2833333333
183;16.2666666667
184;20.3333333333
185;9.15
186;10.1666666667
187;19.3166666667
188;8.1333333333
189;10.1666666667
190;10.1666666667
191;8.1333333333
192;12.2
193;7.1166666667
194;11.1833333333
195;1.0166666667
196;22.3666666667
197;17.2833333333
198;11.1833333333
199;9.15
200;9.15
201;11.1833333333
202;11.1833333333
203;14.2333333333
204;7.1166666667
205;20.3333333333
206;12.2
207;12.2
208;22.3666666667
209;10.1666666667
210;14.2333333333
211;0.0
212;20.3333333333
213;14.2333333333
214;12.2
215;0.0
216;23.3833333333
217;23.3833333333
218;11.1833333333
219;18.3
220;17.2833333333
221;1.0166666667
222;15.25
223;18.3
224;0.0
225;15.25
226;15.25
227;18.3
228;16.2666666667
229;19.3166666667
230;13.2166666667
231;15.25
232;14.2333333333
233;3.05
234;20.3333333333
235;17.2833333333
236;14.2333333333
237;4.0666666667
238;19.3166666667
239;15.25
240;14.2333333333
241;15.25
242;7.1166666667
243;23.3833333333
244;20.3333333333
245;19.3166666667
246;13.2166666667
247;15.25
248;12.2
249;6.1
250;15.25
251;18.3
252;17.2833333333
253;16.2666666667
254;15.25
255;15.25
256;19.3166666667
257;18.3
258;9.15
259;8.1333333333
260;16.2666666667
261;3.05
262;14.2333333333
263;17.2833333333
264;14.2333333333
265;22.3666666667
266;15.25
267;1.0166666667
268;17.2833333333
269;18.3
270;1.0166666667
271;13.2166666667
272;22.3666666667
273;14.2333333333
274;16.2666666667
275;0.0
276;19.3166666667
277;17.2833333333
278;23.3833333333
279;15.25
280;13.2166666667
281;23.3833333333
282;22.3666666667
283;8.1333333333
284;11.1833333333
285;18.3
286;18.3
287;18.3
288;19.3166666667
289;19.3166666667
290;19.3166666667
291;21.35
292;15.25
293;19.3166666667
294;19.3166666667
295;21.35
296;18.3
297;18.3
298;13.2166666667
299;20.3333333333
300;20.3333333333
301;6.1
302;15.25
303;19.3166666667
304;8.1333333333
305;17.2833333333
306;7.1166666667
307;20.3333333333
308;21.35
309;20.3333333333
310;20.3333333333
311;18.3
312;22.3666666667
313;6.1
314;16.2666666667
315;7.1166666667
316;22.3666666667
317;20.3333333333
318;6.1
319;14.2333333333
320;23.3833333333
321;17.2833333333
322;19.3166666667
323;22.3666666667
324;2.0333333333
325;8.1333333333
326;7.1166666667
327;9.15
328;10.1666666667
329;3.05
330;3.05
331;4.0666666667
332;4.0666666667
333;5.0833333333
334;6.1
335;7.1166666667
336;17.2833333333
337;6.1
338;17.2833333333
339;18.3
340;7.1166666667
341;18.3
342;8.1333333333
343;7.1166666667
344;18.3
345;20.3333333333
346;6.1
347;15.25
348;4.0666666667
349;7.1166666667
350;17.2833333333
351;19.3166666667
352;7.1166666667
353;8.1333333333
354;18.3
355;8.1333333333
356;7.1166666667
357;8.1333333333
358;20.3333333333
359;8.1333333333
360;7.1166666667
361;23.3833333333
362;6.1
363;19.3166666667
364;21.35
365;19.3166666667
366;10.1666666667
367;22.3666666667
368;8.1333333333
369;18.3
370;18.3
371;20.3333333333
372;12.2
373;22.3666666667
374;19.3166666667
375;7.1166666667
376;9.15
377;10.1666666667
378;22.3666666667
379;3.05
380;22.3666666667
381;6.1
382;9.15
383;9.15
384;10.1666666667
385;0.0
386;21.35
387;9.15
388;22.3666666667
389;6.1
390;8.1333333333
391;6.1
392;6.1
393;7.1166666667
394;13.2166666667
395;8.1333333333
396;16.2666666667
397;11.1833333333
398;14.2333333333
399;16.2666666667
400;18.3
401;7.1166666667
402;7.1166666667
403;6.1
404;7.1166666667
405;9.15
406;10.1666666667
407;11.1833333333
408;10.1666666667
409;22.3666666667
410;7.1166666667
411;6.1
412;6.1
413;8.1333333333
414;13.2166666667
415;8.1333333333
416;8.1333333333
417;7.1166666667
418;7.1166666667
419;8.1333333333
420;6.1
421;9.15
422;14.2333333333
423;10.1666666667
424;12.2
425;14.2333333333
426;11.1833333333
427;7.1166666667
428;7.1166666667
429;15.25
430;13.2166666667
431;10.1666666667
432;8.1333333333
433;9.15
434;12.2
435;0.0
436;10.1666666667
437;6.1
438;14.2333333333
439;15.25
440;7.1166666667
441;13.2166666667
442;16.2666666667
443;13.2166666667
444;16.2666666667
445;20.3333333333
446;8.1333333333
447;11.1833333333
448;14.2333333333
449;7.1166666667
450;14.2333333333
451;19.3166666667
452;17.2833333333
453;6.1
454;8.1333333333
455;8.1333333333
456;14.2333333333
457;7.1166666667
458;17.2833333333
459;5.0833333333
460;8.1333333333
461;17.2833333333
462;15.25
463;18.3
464;12.2
465;10.1666666667
466;16.2666666667
467;7.1166666667
468;18.3
469;17.2833333333
470;11.1833333333
471;13.2166666667
472;12.2
473;18.3
474;18.3
475;19.3166666667
476;18.3
477;20.3333333333
478;8.1333333333
479;18.3
480;19.3166666667
481;8.1333333333
482;20.3333333333
483;17.2833333333
484;13.2166666667
485;19.3166666667
486;19.3166666667
487;13.2166666667
488;17.2833333333
489;19.3166666667
490;8.1333333333
491;18.3
492;16.2666666667
493;21.35
494;13.2166666667
495;19.3166666667
496;18.3
497;13.2166666667
498;18.3
499;10.1666666667
500;19.3166666667
501;12.2
502;21.35
503;9.15
504;21.35
505;16.2666666667
506;20.3333333333
507;19.3166666667
508;18.3
509;18.3
510;14.2333333333
511;17.2833333333
512;18.3
513;19.3166666667
514;22.3666666667
515;14.2333333333
516;10.1666666667
517;21.35
518;22.3666666667
519;19.3166666667
520;22.3666666667
521;19.3166666667
522;19.3166666667
523;17.2833333333
524;21.35
525;20.3333333333
526;13.2166666667
527;18.3
528;18.3
529;23.3833333333
530;18.3
531;0.0
532;21.35
533;14.2333333333
534;14.2333333333
535;13.2166666667
536;6.1
537;1.0166666667
538;22.3666666667
539;23.3833333333
540;21.35
541;23.3833333333
542;11.1833333333
543;20.3333333333
544;17.2833333333
545;18.3
546;6.1
547;1.0166666667
548;9.15
549;10.1666666667
550;15.25
551;9.15
552;14.2333333333
553;1.0166666667
554;15.25
555;18.3
556;2.0333333333
557;16.2666666667
558;15.25
559;8.1333333333
560;4.0666666667
561;13.2166666667
562;22.3666666667
563;7.1166666667
564;0.0
565;4.0666666667
566;6.1
567;1.0166666667
568;18.3
569;15.25
570;13.2166666667
571;14.2333333333
572;21.35
573;16.2666666667
574;2.0333333333
575;12.2
576;8.1333333333
577;7.1166666667
578;5.0833333333
579;7.1166666667
580;4.0666666667
581;18.3
582;6.1
583;8.1333333333
584;7.1166666667
585;15.25
586;18.3
587;7.1166666667
588;8.1333333333
589;8.1333333333
590;9.15
591;14.2333333333
592;16.2666666667
593;7.1166666667
594;13.2166666667
595;10.1666666667
596;18.3
597;19.3166666667
598;14.2333333333
599;16.2666666667
600;10.1666666667
601;16.2666666667
602;7.1166666667
603;15.25
604;8.1333333333
605;7.1166666667
606;11.1833333333
607;8.1333333333
608;18.3
609;14.2333333333
610;18.3
611;12.2
612;21.35
613;11.1833333333
614;12.2
615;11.1833333333
616;18.3
617;14.2333333333
618;22.3666666667
619;10.1666666667
620;7.1166666667
621;15.25
622;16.2666666667
623;14.2333333333
624;11.1833333333
625;12.2
626;12.2
627;18.3
628;10.1666666667
629;18.3
630;18.3
631;10.1666666667
632;11.1833333333
633;13.2166666667
634;10.1666666667
635;18.3
636;14.2333333333
637;11.1833333333
638;10.1666666667
639;10.1666666667
640;8.1333333333
641;14.2333333333
642;12.2
643;16.2666666667
644;4.0666666667
645;16.2666666667
646;19.3166666667
647;15.25
648;13.2166666667
649;18.3
650;14.2333333333
651;12.2
652;10.1666666667
653;20.3333333333
654;16.2666666667
655;19.3166666667
656;18.3
657;20.3333333333
658;13.2166666667
659;21.35
660;19.3166666667
661;7.1166666667
662;13.2166666667
663;16.2666666667
664;6.1
665;6.1
666;15.25
667;19.3166666667
668;13.2166666667
669;12.2
670;22.3666666667
671;8.1333333333
672;19.3166666667
673;9.15
674;13.2166666667
675;19.3166666667
676;18.3
677;15.25
678;15.25
679;13.2166666667
680;18.3
681;10.1666666667
682;20.3333333333
683;13.2166666667
684;11.1833333333
685;19.3166666667
686;12.2
687;14.2333333333
688;15.25
689;11.1833333333
690;21.35
691;19.3166666667
692;7.1166666667
693;10.1666666667
694;9.15
695;21.35
696;7.1166666667
697;11.1833333333
698;20.3333333333
699;8.1333333333
700;6.1
701;17.2833333333
702;7.1166666667
703;7.1166666667
704;7.1166666667
705;21.35
706;22.3666666667
707;7.1166666667
708;10.1666666667
709;22.3666666667
710;15.25
711;16.2666666667
712;8.1333333333
713;8.1333333333
714;9.15
715;16.2666666667
716;14.2333333333
717;8.1333333333
718;18.3
719;20.3333333333
720;16.2666666667
721;8.1333333333
722;14.2333333333
723;15.25
724;6.1
725;17.2833333333
726;23.3833333333
727;16.2666666667
728;0.0
729;18.3
730;11.1833333333
731;23.3833333333
732;9.15
733;23.3833333333
734;10.1666666667
735;10.1666666667
736;9.15
737;17.2833333333
738;10.1666666667
739;18.3
740;16.2666666667
741;14.2333333333
742;0.0
743;6.1
744;8.1333333333
745;11.1833333333
746;10.1666666667
747;16.2666666667
748;3.05
