bairro_pk;bairro_tipo_pk;bairro_desc;bairro_tipo_desc
0;NI;Não informado                 ;Não informado        
1;B ;Aarão Reis                    ;Bairro               
2;B ;Camargos                      ;Bairro               
3;B ;Alípio de Melo                ;Bairro               
4;B ;Alto Caiçaras                 ;Bairro               
5;B ;Alto dos Pinheiros            ;Bairro               
6;B ;Álvaro Camargos               ;Bairro               
7;B ;Jardim Alvorada               ;Bairro               
8;B ;Anchieta                      ;Bairro               
9;B ;Aparecida                     ;Bairro               
10;B ;Graça                         ;Bairro               
11;B ;Bairro das Indústrias 1ª Seção;Bairro               
12;B ;Buritis                       ;Bairro               
13;B ;Baleia                        ;Bairro               
14;B ;Barreiro                      ;Bairro               
15;B ;Frei Leopoldo                 ;Bairro               
16;B ;Barroca                       ;Bairro               
17;B ;Barro Preto                   ;Bairro               
18;B ;Belvedere                     ;Bairro               
19;B ;Betânia                       ;Bairro               
19;CH;Betânia                       ;Conjunto habitacional
20;B ;Boa Vista                     ;Bairro               
21;B ;Bom Jesus                     ;Bairro               
21;V ;Bom Jesus                     ;Vila                 
22;B ;Bonfim                        ;Bairro               
23;B ;Cabana do Pai Tomás           ;Bairro               
24;B ;Cachoeirinha                  ;Bairro               
25;B ;Caetano Furquim               ;Bairro               
26;B ;Caiçara Adelaide              ;Bairro               
27;B ;Caiçaras                      ;Bairro               
28;B ;Calafate                      ;Bairro               
29;B ;Califórnia                    ;Bairro               
30;B ;Campo Alegre                  ;Bairro               
31;A ;Campus Ufmg                   ;Área                 
32;B ;Canaã                         ;Bairro               
33;B ;Cardoso                       ;Bairro               
34;B ;Carlos Prates                 ;Bairro               
35;B ;Carmo                         ;Bairro               
36;B ;Casa Branca                   ;Bairro               
37;B ;Castelo                       ;Bairro               
38;B ;São José                      ;Bairro               
38;F ;São José                      ;Fazenda              
39;B ;São Luíz                      ;Bairro               
40;B ;Centro                        ;Bairro               
41;B ;Céu Azul                      ;Bairro               
41;V ;Céu Azul                      ;Vila                 
42;B ;Cidade Jardim                 ;Bairro               
43;B ;Cidade Nova                   ;Bairro               
44;B ;Colégio Batista               ;Bairro               
45;B ;Concórdia                     ;Bairro               
46;B ;Conjunto Califórnia 1ª Seção  ;Bairro               
47;B ;Conjunto Califórnia 2ª Seção  ;Bairro               
48;B ;Conjunto Celso Machado        ;Bairro               
49;B ;Serrano                       ;Bairro               
50;B ;Braúnas                       ;Bairro               
51;B ;Jardim Atlântico              ;Bairro               
52;B ;Coqueiros                     ;Bairro               
53;B ;Coração de Jesus              ;Bairro               
54;A ;Coração Eucarístico           ;Área                 
54;B ;Coração Eucarístico           ;Bairro               
55;B ;Cruzeiro                      ;Bairro               
56;B ;Dom Bosco                     ;Bairro               
57;B ;Dom Cabral                    ;Bairro               
58;B ;Dom Joaquim                   ;Bairro               
59;B ;Dom Silvério                  ;Bairro               
60;B ;Dona Clara                    ;Bairro               
61;B ;Lindéia                       ;Bairro               
62;B ;Engenho Nogueira              ;Bairro               
63;B ;Ermelinda                     ;Bairro               
64;B ;Esplanada                     ;Bairro               
65;B ;Estoril                       ;Bairro               
66;B ;Havaí                         ;Bairro               
67;B ;Etelvina Carneiro             ;Bairro               
68;B ;Europa                        ;Bairro               
69;B ;Eymard                        ;Bairro               
70;B ;São Jorge                     ;Bairro               
70;V ;São Jorge                     ;Vila                 
71;V ;Vila Cemig                    ;Vila                 
72;B ;Sumaré                        ;Bairro               
72;V ;Sumaré                        ;Vila                 
73;B ;Xodó Marize                   ;Bairro               
74;B ;Pindorama                     ;Bairro               
75;B ;Flávio Marques Lisboa         ;Bairro               
76;B ;Floramar                      ;Bairro               
77;B ;Floresta                      ;Bairro               
78;B ;Padre Eustáquio               ;Bairro               
79;B ;Funcionários                  ;Bairro               
80;B ;Gameleira                     ;Bairro               
81;B ;Olhos D'Água                  ;Bairro               
81;V ;Olhos D'Água                  ;Vila                 
82;B ;Glória                        ;Bairro               
83;B ;Grajaú                        ;Bairro               
84;B ;Guarani                       ;Bairro               
84;V ;Guarani                       ;Vila                 
85;B ;Juliana                       ;Bairro               
86;B ;Gutierrez                     ;Bairro               
87;B ;Heliópolis                    ;Bairro               
88;B ;Horto                         ;Bairro               
89;B ;Inconfidência                 ;Bairro               
90;B ;Independência                 ;Bairro               
91;B ;Monte Azul                    ;Bairro               
92;B ;Horto Florestal               ;Bairro               
93;B ;Ipiranga                      ;Bairro               
94;B ;Itapoã                        ;Bairro               
95;B ;Jaqueline                     ;Bairro               
96;B ;Jaraguá                       ;Bairro               
97;B ;Jardim América                ;Bairro               
98;B ;Jardim dos Comerciários       ;Bairro               
99;B ;Jardim Montanhês              ;Bairro               
100;B ;Jardinópolis                  ;Bairro               
101;B ;Jatobá                        ;Bairro               
101;V ;Jatobá                        ;Vila                 
102;B ;João Pinheiro                 ;Bairro               
103;B ;Lagoa                         ;Bairro               
104;B ;Lagoinha Leblon               ;Bairro               
105;B ;Lagoinha                      ;Bairro               
105;V ;Lagoinha                      ;Vila                 
106;B ;Jardim Leblon                 ;Bairro               
107;B ;Letícia                       ;Bairro               
108;B ;Liberdade                     ;Bairro               
108;CH;Liberdade                     ;Conjunto habitacional
109;B ;Lourdes                       ;Bairro               
110;B ;Luxemburgo                    ;Bairro               
111;B ;Madre Gertrudes               ;Bairro               
111;V ;Madre Gertrudes               ;Vila                 
112;B ;Mangabeiras                   ;Bairro               
113;B ;Mantiqueira                   ;Bairro               
114;B ;Marajó                        ;Bairro               
115;B ;Maria Helena                  ;Bairro               
116;B ;Milionários                   ;Bairro               
117;B ;Minas Brasil                  ;Bairro               
118;B ;Minas Caixa                   ;Bairro               
119;B ;Minaslândia                   ;Bairro               
120;B ;Monsenhor Messias             ;Bairro               
121;B ;Nova Cintra                   ;Bairro               
122;B ;Nova Esperança                ;Bairro               
123;B ;Nova Floresta                 ;Bairro               
