datatempo_pk;ano;mes;mes_desc;dia;intervalo_horario;dia_semana;dia_semana_desc
2011000100;2011;0;         ;1;00h à  01h;7;Sábado      
2011000101;2011;0;         ;1;01h às 02h;7;Sábado      
2011000103;2011;0;         ;1;03h às 04h;7;Sábado      
2011000104;2011;0;         ;1;04h às 05h;7;Sábado      
2011000105;2011;0;         ;1;05h às 06h;7;Sábado      
2011000106;2011;0;         ;1;06h às 07h;7;Sábado      
2011000107;2011;0;         ;1;07h às 08h;7;Sábado      
2011000110;2011;0;         ;1;10h às 11h;7;Sábado      
2011000111;2011;0;         ;1;11h às 12h;7;Sábado      
2011000113;2011;0;         ;1;13h às 14h;7;Sábado      
2011000115;2011;0;         ;1;15h às 16h;7;Sábado      
2011000116;2011;0;         ;1;16h às 17h;7;Sábado      
2011000117;2011;0;         ;1;17h às 18h;7;Sábado      
2011000118;2011;0;         ;1;18h às 19h;7;Sábado      
2011000119;2011;0;         ;1;19h às 20h;7;Sábado      
2011000120;2011;0;         ;1;20h às 21h;7;Sábado      
2011000121;2011;0;         ;1;21h às 22h;7;Sábado      
2011000122;2011;0;         ;1;22h às 23h;7;Sábado      
2011000123;2011;0;         ;1;23h às 24h;7;Sábado      
2011000200;2011;0;         ;2;00h à  01h;1;Domingo      
2011000201;2011;0;         ;2;01h às 02h;1;Domingo      
2011000208;2011;0;         ;2;08h às 09h;1;Domingo      
2011000209;2011;0;         ;2;09h às 10h;1;Domingo      
2011000210;2011;0;         ;2;10h às 11h;1;Domingo      
2011000211;2011;0;         ;2;11h às 12h;1;Domingo      
2011000212;2011;0;         ;2;12h às 13h;1;Domingo      
2011000213;2011;0;         ;2;13h às 14h;1;Domingo      
2011000214;2011;0;         ;2;14h às 15h;1;Domingo      
2011000215;2011;0;         ;2;15h às 16h;1;Domingo      
2011000216;2011;0;         ;2;16h às 17h;1;Domingo      
2011000217;2011;0;         ;2;17h às 18h;1;Domingo      
2011000218;2011;0;         ;2;18h às 19h;1;Domingo      
2011000219;2011;0;         ;2;19h às 20h;1;Domingo      
2011000220;2011;0;         ;2;20h às 21h;1;Domingo      
2011000221;2011;0;         ;2;21h às 22h;1;Domingo      
2011000222;2011;0;         ;2;22h às 23h;1;Domingo      
2011000301;2011;0;         ;3;01h às 02h;2;Segunda-feira
2011000306;2011;0;         ;3;06h às 07h;2;Segunda-feira
2011000307;2011;0;         ;3;07h às 08h;2;Segunda-feira
2011000309;2011;0;         ;3;09h às 10h;2;Segunda-feira
2011000310;2011;0;         ;3;10h às 11h;2;Segunda-feira
2011000312;2011;0;         ;3;12h às 13h;2;Segunda-feira
2011000313;2011;0;         ;3;13h às 14h;2;Segunda-feira
2011000314;2011;0;         ;3;14h às 15h;2;Segunda-feira
2011000315;2011;0;         ;3;15h às 16h;2;Segunda-feira
2011000316;2011;0;         ;3;16h às 17h;2;Segunda-feira
2011000317;2011;0;         ;3;17h às 18h;2;Segunda-feira
2011000318;2011;0;         ;3;18h às 19h;2;Segunda-feira
2011000319;2011;0;         ;3;19h às 20h;2;Segunda-feira
2011000405;2011;0;         ;4;05h às 06h;3;Terça-feira 
2011000406;2011;0;         ;4;06h às 07h;3;Terça-feira 
2011000407;2011;0;         ;4;07h às 08h;3;Terça-feira 
2011000408;2011;0;         ;4;08h às 09h;3;Terça-feira 
2011000409;2011;0;         ;4;09h às 10h;3;Terça-feira 
2011000410;2011;0;         ;4;10h às 11h;3;Terça-feira 
2011000412;2011;0;         ;4;12h às 13h;3;Terça-feira 
2011000413;2011;0;         ;4;13h às 14h;3;Terça-feira 
2011000414;2011;0;         ;4;14h às 15h;3;Terça-feira 
2011000415;2011;0;         ;4;15h às 16h;3;Terça-feira 
2011000416;2011;0;         ;4;16h às 17h;3;Terça-feira 
2011000417;2011;0;         ;4;17h às 18h;3;Terça-feira 
2011000418;2011;0;         ;4;18h às 19h;3;Terça-feira 
2011000420;2011;0;         ;4;20h às 21h;3;Terça-feira 
2011000423;2011;0;         ;4;23h às 24h;3;Terça-feira 
2011000506;2011;0;         ;5;06h às 07h;4;Quarta-feira 
2011000507;2011;0;         ;5;07h às 08h;4;Quarta-feira 
2011000508;2011;0;         ;5;08h às 09h;4;Quarta-feira 
2011000509;2011;0;         ;5;09h às 10h;4;Quarta-feira 
2011000510;2011;0;         ;5;10h às 11h;4;Quarta-feira 
2011000511;2011;0;         ;5;11h às 12h;4;Quarta-feira 
2011000512;2011;0;         ;5;12h às 13h;4;Quarta-feira 
2011000513;2011;0;         ;5;13h às 14h;4;Quarta-feira 
2011000514;2011;0;         ;5;14h às 15h;4;Quarta-feira 
2011000515;2011;0;         ;5;15h às 16h;4;Quarta-feira 
2011000516;2011;0;         ;5;16h às 17h;4;Quarta-feira 
2011000518;2011;0;         ;5;18h às 19h;4;Quarta-feira 
2011000519;2011;0;         ;5;19h às 20h;4;Quarta-feira 
2011000520;2011;0;         ;5;20h às 21h;4;Quarta-feira 
2011000521;2011;0;         ;5;21h às 22h;4;Quarta-feira 
2011000522;2011;0;         ;5;22h às 23h;4;Quarta-feira 
2011000604;2011;0;         ;6;04h às 05h;5;Quinta-feira 
2011000607;2011;0;         ;6;07h às 08h;5;Quinta-feira 
2011000608;2011;0;         ;6;08h às 09h;5;Quinta-feira 
2011000609;2011;0;         ;6;09h às 10h;5;Quinta-feira 
2011000610;2011;0;         ;6;10h às 11h;5;Quinta-feira 
2011000611;2011;0;         ;6;11h às 12h;5;Quinta-feira 
2011000612;2011;0;         ;6;12h às 13h;5;Quinta-feira 
2011000613;2011;0;         ;6;13h às 14h;5;Quinta-feira 
2011000614;2011;0;         ;6;14h às 15h;5;Quinta-feira 
2011000615;2011;0;         ;6;15h às 16h;5;Quinta-feira 
2011000616;2011;0;         ;6;16h às 17h;5;Quinta-feira 
2011000617;2011;0;         ;6;17h às 18h;5;Quinta-feira 
2011000618;2011;0;         ;6;18h às 19h;5;Quinta-feira 
2011000619;2011;0;         ;6;19h às 20h;5;Quinta-feira 
2011000620;2011;0;         ;6;20h às 21h;5;Quinta-feira 
2011000622;2011;0;         ;6;22h às 23h;5;Quinta-feira 
2011000700;2011;0;         ;7;00h à  01h;6;Sexta-feira  
2011000701;2011;0;         ;7;01h às 02h;6;Sexta-feira  
2011000702;2011;0;         ;7;02h às 03h;6;Sexta-feira  
2011000704;2011;0;         ;7;04h às 05h;6;Sexta-feira  
