bairro_pk;bairro_desc;bairro_tipo_cod;bairro_tipo_desc
0;Não informado                 ;NI;Não informado        
1;Aarão Reis                    ;B ;Bairro               
2;Camargos                      ;B ;Bairro               
3;Alípio de Melo                ;B ;Bairro               
4;Alto Caiçaras                 ;B ;Bairro               
5;Alto dos Pinheiros            ;B ;Bairro               
6;Álvaro Camargos               ;B ;Bairro               
7;Jardim Alvorada               ;B ;Bairro               
8;Anchieta                      ;B ;Bairro               
9;Aparecida                     ;B ;Bairro               
10;Graça                         ;B ;Bairro               
11;Bairro das Indústrias 1ª Seção;B ;Bairro               
12;Buritis                       ;B ;Bairro               
13;Baleia                        ;B ;Bairro               
14;Barreiro                      ;B ;Bairro               
15;Frei Leopoldo                 ;B ;Bairro               
16;Barroca                       ;B ;Bairro               
17;Barro Preto                   ;B ;Bairro               
18;Belvedere                     ;B ;Bairro               
19;Betânia                       ;B ;Bairro               
20;Boa Vista                     ;B ;Bairro               
21;Bom Jesus                     ;B ;Bairro               
22;Bonfim                        ;B ;Bairro               
23;Cabana do Pai Tomás           ;B ;Bairro               
24;Cachoeirinha                  ;B ;Bairro               
25;Caetano Furquim               ;B ;Bairro               
26;Caiçara Adelaide              ;B ;Bairro               
27;Caiçaras                      ;B ;Bairro               
28;Calafate                      ;B ;Bairro               
29;Califórnia                    ;B ;Bairro               
30;Campo Alegre                  ;B ;Bairro               
31;Campus Ufmg                   ;A ;Área                 
32;Canaã                         ;B ;Bairro               
33;Cardoso                       ;B ;Bairro               
34;Carlos Prates                 ;B ;Bairro               
35;Carmo                         ;B ;Bairro               
36;Casa Branca                   ;B ;Bairro               
37;Castelo                       ;B ;Bairro               
38;São José                      ;B ;Bairro               
39;São Luíz                      ;B ;Bairro               
40;Centro                        ;B ;Bairro               
41;Céu Azul                      ;B ;Bairro               
42;Cidade Jardim                 ;B ;Bairro               
43;Cidade Nova                   ;B ;Bairro               
44;Colégio Batista               ;B ;Bairro               
45;Concórdia                     ;B ;Bairro               
46;Conjunto Califórnia 1ª Seção  ;B ;Bairro               
47;Conjunto Califórnia 2ª Seção  ;B ;Bairro               
48;Conjunto Celso Machado        ;B ;Bairro               
49;Serrano                       ;B ;Bairro               
50;Braúnas                       ;B ;Bairro               
51;Jardim Atlântico              ;B ;Bairro               
52;Coqueiros                     ;B ;Bairro               
53;Coração de Jesus              ;B ;Bairro               
54;Coração Eucarístico           ;B ;Bairro               
55;Cruzeiro                      ;B ;Bairro               
56;Dom Bosco                     ;B ;Bairro               
